SongId	LyricId	Lyric Line Number	Lyric
2	927	1	[Verse 1]
2	928	2	Walking through a crowd, the village is aglow
2	929	3	Kaleidoscope of loud heartbeats under coats
2	930	4	Everybody here wanted something more
2	931	5	Searching for a sound we hadn't heard before
2	932	6	And it said
2	933	7	
2	934	8	[Chorus]
2	935	9	Welcome to New York, it's been waiting for you
2	936	10	Welcome to New York, welcome to New York
2	937	11	Welcome to New York, it's been waiting for you
2	938	12	Welcome to New York, welcome to New York
2	939	13	It's a new soundtrack, I could dance to this beat, beat, forevermore
2	940	14	The lights are so bright but they never blind me, me
2	941	15	Welcome to New York, it's been waiting for you
2	942	16	Welcome to New York, welcome to New York
2	943	17	[Verse 2]
2	944	18	When we first dropped our bags on apartment floors
2	945	19	Took our broken hearts, put them in a drawer
2	946	20	Everybody here was someone else before
2	947	21	And you can want who you want
2	948	22	Boys and boys and girls and girls
2	949	23	
2	950	24	[Chorus]
2	951	25	Welcome to New York, it's been waiting for you
2	952	26	Welcome to New York, welcome to New York
2	953	27	Welcome to New York, it's been waiting for you
2	954	28	Welcome to New York, welcome to New York
2	955	29	It's a new soundtrack, I could dance to this beat, beat, forevermore
2	956	30	The lights are so bright, but they never blind me, me
2	957	31	Welcome to New York (New York), it's been waiting for you
2	958	32	Welcome to New York, welcome to New York
2	959	33	
2	960	34	[Bridge]
2	961	35	Like any great love, it keeps you guessing
2	962	36	Like any real love, it's ever-changing
2	963	37	Like any true love, it drives you crazy
2	964	38	But you know you wouldn't change anything, anything, anything
2	965	39	
2	966	40	[Chorus]
2	967	41	Welcome to New York, it's been waiting for you
2	968	42	Welcome to New York, welcome to New York
2	969	43	Welcome to New York, it's been waiting for you
2	970	44	Welcome to New York, welcome to New York
2	971	45	It's a new soundtrack, I could dance to this beat
2	972	46	The lights are so bright, but they never blind me
2	973	47	Welcome to New York (New soundtrack)
2	974	48	It's been waiting for you
2	975	49	Welcome to New York
2	976	50	The lights are so bright but they never blind me
2	977	51	Welcome to New York
2	978	52	So bright, they never blind me
2	979	53	Welcome to New York
2	980	54	Welcome to New York
3	240	1	[Verse 1]
3	241	2	Nice to meet you, where you been?
3	242	3	I could show you incredible things
3	243	4	Magic, madness, heaven, sin
3	244	5	Saw you there and I thought
3	245	6	"Oh, my God, look at that face
3	246	7	You look like my next mistake
3	247	8	Love's a game, wanna play?" Ayy
3	248	9	New money, suit and tie
3	249	10	I can read you like a magazine
3	250	11	Ain't it funny? Rumors fly
3	251	12	And I know you heard about me
3	252	13	So, hey, let's be friends
3	253	14	I'm dying to see how this one ends
3	254	15	Grab your passport and my hand
3	255	16	I can make the bad guys good for a weekend
3	256	17	[Chorus]
3	257	18	So, it's gonna be forever
3	258	19	Or it's gonna go down in flames?
3	259	20	You can tell me when it's over, mm
3	260	21	If the high was worth the pain
3	261	22	Got a long list of ex-lovers
3	262	23	They'll tell you I'm insane
3	263	24	'Cause you know I love the players
3	264	25	And you love the game
3	265	26	'Cause we're young and we're reckless
3	266	27	We'll take this way too far
3	267	28	It'll leave you breathless, mm
3	268	29	Or with a nasty scar
3	269	30	Got a long list of ex-lovers
3	270	31	They'll tell you I'm insane
3	271	32	But I've got a blank space, baby
3	272	33	And I'll write your name
3	273	34	
3	274	35	[Verse 2]
3	275	36	Cherry lips, crystal skies
3	276	37	I could show you incredible things
3	277	38	Stolen kisses, pretty lies
3	278	39	You're the king, baby, I'm your queen
3	279	40	Find out what you want
3	280	41	Be that girl for a month
3	281	42	Wait, the worst is yet to come, oh, no
3	282	43	Screaming, crying, perfect storms
3	283	44	I can make all the tables turn
3	284	45	Rose garden filled with thorns
3	285	46	Keep you second guessing, like
3	286	47	"Oh, my God, who is she?"
3	287	48	I get drunk on jealousy
3	288	49	But you'll come back each time you leave
3	289	50	'Cause, darling, I'm a nightmare dressed like a daydream
3	290	51	[Chorus]
3	291	52	So, it's gonna be forever
3	292	53	Or it's gonna go down in flames?
3	293	54	You can tell me when it's over, mm
3	294	55	If the high was worth the pain
3	295	56	Got a long list of ex-lovers
3	296	57	They'll tell you I'm insane
3	297	58	'Cause you know I love the players
3	298	59	And you love the game
3	299	60	'Cause we're young and we're reckless (Oh)
3	300	61	We'll take this way too far
3	301	62	It'll leave you breathless (Oh-oh), mm
3	302	63	Or with a nasty scar
3	303	64	Got a long list of ex-lovers
3	304	65	They'll tell you I'm insane (Insane)
3	305	66	But I've got a blank space, baby
3	306	67	And I'll write your name
3	307	68	
3	308	69	[Bridge]
3	309	70	Boys only want love if it's torture
3	310	71	Don't say I didn't, say I didn't warn ya
3	311	72	Boys only want love if it's torture
3	312	73	Don't say I didn't, say I didn't warn ya
3	313	74	
3	314	75	[Chorus]
3	315	76	So, it's gonna be forever
3	316	77	Or it's gonna go down in flames?
3	317	78	You can tell me when it's over (Over), mm
3	318	79	If the high was worth the pain
3	319	80	Got a long list of ex-lovers
3	320	81	They'll tell you I'm insane (I'm insane)
3	321	82	'Cause you know I love the players
3	322	83	And you love the game (And you love the game)
3	323	84	'Cause we're young and we're reckless (Yeah)
3	324	85	We'll take this way too far (Ooh)
3	325	86	It'll leave you breathless, mm
3	326	87	Or with a nasty scar (With a nasty scar)
3	327	88	Got a long list of ex-lovers
3	328	89	They'll tell you I'm insane
3	329	90	But I've got a blank space, baby
3	330	91	And I'll write your name
4	802	1	[Verse 1]
4	803	2	Midnight
4	804	3	You come and pick me up, no headlights
4	805	4	A long drive
4	806	5	Could end in burning flames or paradise
4	807	6	Fade into view, oh
4	808	7	It's been a while since I have even heard from you
4	809	8	(Heard from you)
4	810	9	
4	811	10	[Pre-Chorus]
4	812	11	And I should just tell you to leave
4	813	12	'Cause I know exactly where it leads
4	814	13	But I watch us go 'round and 'round each time
4	815	14	[Chorus]
4	816	15	You got that James Dean daydream look in your eye
4	817	16	And I got that red lip classic thing that you like
4	818	17	And when we go crashing down, we come back every time
4	819	18	'Cause we never go out of style, we never go out of style
4	820	19	You got that long hair, slicked back, white t-shirt
4	821	20	And I got that good girl faith and a tight little skirt
4	822	21	And when we go crashing down, we come back every time
4	823	22	'Cause we never go out of style, we never go out of style
4	824	23	
4	825	24	[Verse 2]
4	826	25	So it goes
4	827	26	He can't keep his wild eyes on the road, mmm
4	828	27	Takes me home
4	829	28	The lights are off, he's taking off his coat, mmm, yeah
4	830	29	I say, "I heard, oh
4	831	30	That you've been out and about with some other girl"
4	832	31	Some other girl
4	833	32	
4	834	33	[Pre-Chorus]
4	835	34	He says, "What you heard is true
4	836	35	But I can't stop thinking 'bout you and I"
4	837	36	I said, "I've been there too a few times"
4	838	37	
4	839	38	[Chorus]
4	840	39	'Cause you got that James Dean daydream look in your eye
4	841	40	And I got that red lip classic thing that you like
4	842	41	And when we go crashing down, we come back every time
4	843	42	'Cause we never go out of style, we never go out of style
4	844	43	You got that long hair, slicked back, white t-shirt
4	845	44	And I got that good girl faith and a tight little skirt (A tight little skirt)
4	846	45	And when we go crashing down, we come back every time
4	847	46	'Cause we never go out of style (We never go, we never go)
4	848	47	We never go out of style
4	849	48	[Bridge]
4	850	49	Take me home (Ah-ah-ah-ah-ah)
4	851	50	Just take me home (Ah-ah-ah-ah-ah)
4	852	51	Yeah, just take me home (Ah-ah-ah-ah-ah)
4	853	52	Oh-oh, woah-oh, oh (Out of style)
4	854	53	
4	855	54	[Chorus]
4	856	55	Oh, you got that James Dean daydream look in your eye
4	857	56	And I got that red lip classic thing that you like
4	858	57	And when we go crashing down (And when we go)
4	859	58	We come back every time
4	860	59	'Cause we never go out of style, we never go out of style
5	629	1	[Verse 1]
5	630	2	Looking at it now
5	631	3	It all seems so simple
5	632	4	We were lying on your couch
5	633	5	I remember
5	634	6	You took a Polaroid of us
5	635	7	Then discovered (Then discovered)
5	636	8	The rest of the world was black and white
5	637	9	But we were in screaming color
5	638	10	And I remember thinking
5	639	11	[Chorus]
5	640	12	Are we out of the woods yet? Are we out of the woods yet?
5	641	13	Are we out of the woods yet? Are we out of the woods?
5	642	14	Are we in the clear yet? Are we in the clear yet?
5	643	15	Are we in the clear yet, in the clear yet? Good
5	644	16	Are we out of the woods yet? Are we out of the woods yet?
5	645	17	Are we out of the woods yet? Are we out of the woods?
5	646	18	Are we in the clear yet? Are we in the clear yet?
5	647	19	Are we in the clear yet, in the clear yet? Good
5	648	20	(Are we out of the woods?)
5	649	21	[Verse 2]
5	650	22	Looking at it now
5	651	23	Last December (Last December)
5	652	24	We were built to fall apart
5	653	25	Then fall back together (Back together)
5	654	26	Ooh, your necklace hanging from my neck
5	655	27	The night we couldn't quite forget
5	656	28	When we decided, we decided
5	657	29	To move the furniture so we could dance
5	658	30	Baby, like we stood a chance
5	659	31	Two paper airplanes flying, flying, flying
5	660	32	And I remember thinking
5	661	33	
5	662	34	[Chorus]
5	663	35	Are we out of the woods yet? Are we out of the woods yet?
5	664	36	Are we out of the woods yet? Are we out of the woods?
5	665	37	Are we in the clear yet? Are we in the clear yet?
5	666	38	Are we in the clear yet, in the clear yet? Good
5	667	39	Are we out of the woods yet? Are we out of the woods yet?
5	668	40	Are we out of the woods yet? (Oh) Are we out of the woods?
5	669	41	Are we in the clear yet? Are we in the clear yet?
5	670	42	Are we in the clear yet, in the clear yet? Good
5	671	43	(Are we out of the woods?)
5	672	44	[Bridge]
5	673	45	Remember when you hit the brakes too soon?
5	674	46	Twenty stitches in the hospital room
5	675	47	When you started crying, baby, I did too
5	676	48	But when the sun came up, I was looking at you
5	677	49	Remember when we couldn't take the heat?
5	678	50	I walked out, I said, "I'm setting you free"
5	679	51	But the monsters turned out to be just trees
5	680	52	When the sun came up, you were looking at me
5	681	53	You were looking at me, ooh
5	682	54	You were looking at me
5	683	55	(Are we out of the woods yet? Are we out of the woods yet?)
5	684	56	(Are we out of the woods yet? Are we out of the woods?)
5	685	57	I remember
5	686	58	(Are we in the clear yet? Are we in the clear yet?)
5	687	59	(Are we in the clear yet, in the clear yet? Good)
5	688	60	Oh, I remember
5	689	61	
5	690	62	[Chorus]
5	691	63	Are we out of the woods yet? Are we out of the woods yet? (Yeah, yeah)
5	692	64	Are we out of the woods yet? Are we out of the woods?
5	693	65	Are we in the clear yet? Are we in the clear yet? (Say, are we?)
5	694	66	Are we in the clear yet, in the clear yet? Good
5	695	67	Are we out of the woods yet? Are we out of the woods yet?
5	696	68	Are we out of the woods yet? Are we out of the woods?
5	697	69	Are we in the clear yet? (Yeah) Are we in the clear yet? (Yeah)
5	698	70	Are we in the clear yet, in the clear yet? Good (Clear yet? Good)
5	699	71	Are we out of the woods yet? Are we out of the woods yet?
5	700	72	Are we out of the woods yet? Are we out of the woods?
5	701	73	Are we in the clear yet? Are we in the clear yet?
5	702	74	Are we in the clear yet, in the clear yet? Good (Do you remember?)
5	703	75	Are we out of the woods yet? Are we out of the woods yet?
5	704	76	Are we out of the woods yet? Are we out of the woods?
5	705	77	Are we in the clear yet? Are we in the clear yet?
5	706	78	Are we in the clear yet, in the clear yet? Good
6	72	1	[Intro]
6	73	2	(Hey, hey, hey)
6	74	3	(Hey, hey, hey)
6	75	4	(Hey, hey, hey)
6	76	5	(Hey, hey, hey)
6	77	6	
6	78	7	[Verse 1]
6	79	8	People like you always want back
6	80	9	The love they gave away
6	81	10	And people like me wanna believe you
6	82	11	When you say you've changed
6	83	12	The more I think about it now
6	84	13	The less I know
6	85	14	All I know is that you drove us
6	86	15	Off the road
6	87	16	[Chorus]
6	88	17	(Stay) Hey, all you had to do was stay
6	89	18	Had me in the palm of your hand, then
6	90	19	Why'd you have to go and lock me out when I let you in?
6	91	20	(Stay) Hey, now you say you want it back
6	92	21	Now that it's just too late
6	93	22	Well, could've been easy
6	94	23	All you had to do was (Stay)
6	95	24	
6	96	25	[Post-Chorus]
6	97	26	All you had to do was (Stay)
6	98	27	All you had to do was (Stay)
6	99	28	All you had to do was (Stay)
6	100	29	All you had to do was stay
6	101	30	
6	102	31	[Verse 2]
6	103	32	Here you are now, calling me up
6	104	33	But I don't know what to say
6	105	34	I've been picking up the pieces
6	106	35	Of the mess you made
6	107	36	People like you always want back
6	108	37	The love they pushed aside
6	109	38	But people like me are gone forever
6	110	39	When you say goodbye
6	111	40	
6	112	41	[Chorus]
6	113	42	(Stay) Hey, all you had to do was stay
6	114	43	Had me in the palm of your hand, then
6	115	44	Why'd you have to go and lock me out when I let you in?
6	116	45	(Stay) Hey, now you say you want it back
6	117	46	Now that it's just too late
6	118	47	Well, could've been easy
6	119	48	All you had to do was (Stay)
6	120	49	[Post-Chorus]
6	121	50	All you had to do was (Stay)
6	122	51	All you had to do was (Stay)
6	123	52	All you had to do was (Stay, stay, stay, stay, stay)
6	124	53	
6	125	54	[Bridge]
6	126	55	Let me remind you
6	127	56	This was what you wanted (Oh, oh, oh-oh-oh)
6	128	57	You ended it
6	129	58	You were all I wanted (Oh, oh, oh-oh-oh)
6	130	59	But not like this
6	131	60	Not like this
6	132	61	Not like this
6	133	62	Oh, all you had to do was...
6	134	63	
6	135	64	[Chorus]
6	136	65	(Stay) Hey, all you had to do was stay
6	137	66	Had me in the palm of your hand, then
6	138	67	Why'd you want to go and lock me out when I let you in?
6	139	68	(Stay) Hey, now you say you want it back
6	140	69	Now that it's just too late
6	141	70	Well, could've been easy
6	142	71	All you had to do was...
6	143	72	(Stay) Hey, all you had to do was stay
6	144	73	Had me in the palm of your hand, then
6	145	74	Why'd you have to go and lock me out when I let you in?
6	146	75	(Stay) Hey, now you say you want it back
6	147	76	Now that it's just too late
6	148	77	Well, could've been easy (All you had to do was stay)
6	149	78	All you had to do was (Stay)
6	150	79	[Post-Chorus]
6	151	80	All you had to do was (Stay) (Oh)
6	152	81	All you had to do was (Stay)
6	153	82	All you had to do was (Stay) (Ooh)
6	154	83	All you had to do was (Stay)
7	707	1	[Verse 1]
7	708	2	I stay out too late
7	709	3	Got nothin' in my brain
7	710	4	That's what people say, mmm-mmm
7	711	5	That's what people say, mmm-mmm
7	712	6	I go on too many dates (Haha)
7	713	7	But I can't make them stay
7	714	8	At least that's what people say, mmm-mmm
7	715	9	That's what people say, mmm-mmm
7	716	10	
7	717	11	[Pre-Chorus]
7	718	12	But I keep cruisin'
7	719	13	Can't stop, won't stop movin'
7	720	14	It's like I got this music in my mind
7	721	15	Sayin', "It's gonna be alright"
7	722	16	[Chorus]
7	723	17	'Cause the players gonna play, play, play, play, play
7	724	18	And the haters gonna hate, hate, hate, hate, hate
7	725	19	Baby, I'm just gonna shake, shake, shake, shake, shake
7	726	20	I shake it off, I shake it off
7	727	21	Heartbreakers gonna break, break, break, break, break
